structure,surface,location,arm,comparable_structure,dtr_daytime,dtr_nighttime
18A,Indoor,H,Case,19,11.4375,10.3125
18A,Outdoor,H,Case,19,32.125,22.5
19,Indoor,H,Control,18A,17.25,13.9375
19,Outdoor,H,Control,18A,32.125,22.5
20,Indoor,H,Case,86,14.1875,11.8125
20,Indoor,R,Case,86,12.1875,10.3125
20,Indoor,W,Case,86,14.0625,11.375
20,Outdoor,H,Case,86,34.75,20.375
20,Outdoor,Surface (Roof) Double Roof,Case,86,38.125,27.5625
20,Outdoor,Surface (Roof) Origional,Case,86,17.75,15.5
20,Outdoor,W,Case,86,25.5625,18.4375
22,Indoor,H,Case,44,9.5625,8.0
22,Outdoor,H,Case,44,31.4375,15.875
23,Indoor,H,Control,5,16.8125,13.4375
23,Outdoor,H,Control,5,31.9375,18.25
29,Indoor,H,Control,30,12.375,11.125
29,Indoor,R,Control,30,18.75,16.0625
29,Indoor,W,Control,30,10.0625,9.625
29,Outdoor,H,Control,30,19.75,15.8125
29,Outdoor,R,Control,30,35.625,19.6875
29,Outdoor,W,Control,30,17.375,14.0
30,Indoor,H,Case,29,12.625,11.375
30,Indoor,R,Case,29,18.125,14.1875
30,Indoor,W,Case,29,9.25,8.6875
30,Outdoor,H,Case,29,19.75,15.8125
30,Outdoor,R,Case,29,32.1875,18.875
30,Outdoor,W,Case,29,17.875,14.9375
37,Indoor,H,Case,68,13.1875,9.625
37,Indoor,R,Case,68,11.1875,9.75
37,Indoor,R,Case,92,21.875,15.0625
37,Indoor,W,Case,68,12.0,9.25
37,Outdoor,H,Case,68,26.5,14.6875
37,Outdoor,R,Case,92,31.4375,17.375
37,Outdoor,Surface (Roof) Double Roof,Case,68,35.125,16.3125
37,Outdoor,Surface (Roof) Origional,Case,68,19.5625,15.8125
37,Outdoor,W,Case,68,16.6875,13.0
41,Indoor,H,Case,71,12.1875,10.375
41,Outdoor,H,Case,71,16.9375,12.375
44,Indoor,H,Control,22,13.9375,9.25
44,Outdoor,H,Control,22,26.875,15.5
46,Indoor,H,Case,95,14.5,12.75
46,Outdoor,H,Case,95,29.4375,19.125
48,Indoor,H,Case,92,11.3125,10.0625
48,Outdoor,H,Case,92,25.3125,14.6875
5,Indoor,H,Case,23,14.625,12.625
5,Outdoor,H,Case,23,29.75,17.0
68,Indoor,H,Control,37,14.125,11.5
68,Indoor,R,Control,37,11.4375,9.5
68,Indoor,W,Control,37,10.75,9.0
68,Outdoor,H,Control,37,39.4375,23.625
68,Outdoor,R,Control,37,42.375,19.6875
68,Outdoor,W,Control,37,29.0,15.6875
71,Indoor,H,Control,41,12.8125,10.4375
71,Outdoor,H,Control,41,39.4375,23.625
86,Indoor,H,Control,20,18.1875,15.0625
86,Indoor,R,Control,20,21.875,18.3125
86,Indoor,W,Control,20,13.625,12.5
86,Outdoor,H,Control,20,34.625,21.125
86,Outdoor,R,Control,20,32.5625,24.9375
86,Outdoor,W,Control,20,29.625,20.5
92,Indoor,H,Control,48,13.8125,10.8125
92,Outdoor,H,Control,48,39.4375,23.625
95,Indoor,H,Control,46,17.9375,16.5
95,Outdoor,H,Control,46,31.0625,20.625
